,country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population)_x,Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI),Quality Of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living,Property price to income ratio,Traffic commute time index,Pollution index,Climate index,Gross Rental Yield City Center,Gross Rental Yield Outside Center,Property Price to Rent Ratio City Center,Property Price to Rent Ratio Outside Center,Mortgate as percentage of income,Affordability Index,Cost Of Living Index,Rent Index,Cost Of Living Plus Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Access to electricity (% of population),Adjusted net national income per capita (constant 2010 US$),Age dependency ratio (% of working-age population),"Air transport, freight (million ton-km)","Air transport, passengers carried",Commercial service exports (current US$),Commercial service imports (current US$),Consumer price index (2010 = 100),Current account balance (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),Gross domestic savings (% of GDP),High-technology exports (current US$),Human capital index (HCI) (scale 0-1),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Military expenditure (% of GDP),"Population, female","Population, male",Tax revenue (% of GDP),"Taxes on income, profits and capital gains (% of revenue)",Urban population (% of total population)_y
49,Singapore,South-easternAsia,719,5709,8155.5,97.7,292734,2.0,52239.0,~0.0,26.4,73.6,0.3,17.0,82.6,2.0,57.8/76.1,112,112,329871,283009,46862,57922,1.7,100.0,2.0,1.2,15.0/19.5,2543.6/45.4,~0.0,2.1,4.9,1.9,2.9,-99,-99,-99,23.8,146.1,82.1,293,23.1,56.4/10.2,27,209,100.0/...,100.0/...,-99,-99,86.50,92.70,83.42,69.87,82.41,21.63,43.39,37.04,-71.47,2.75,3.65,36.41,27.39,134.33,0.74,82.41,70.22,76.57,71.68,58.33,92.70,100.0,45178.6935099864,29.520863642741602,5062.992579,38094990.0,169389575827.796,180034252403.28,113.265922901941,16.2638231598757,4.44038286805153,170.705375433905,54.51476246247721,147178835744.0,0.884,145.307195340781,0.5762603101663709,85.4,80.9,83.0951219512195,3.1548782818950403,2674905.0,2937348.0,14.0473782042035,33.4574635273207,100.0
50,Slovakia,EasternEurope,49035,5448,113.3,94.6,87268,3.8,16082.5,3.7,34.8,61.5,3.3,34.5,62.2,9.9,51.4/68.0,97,97,77565,75156,2409,193,0.1,53.6,-0.3,1.4,15.4/21.8,177.2/3.3,2.7,5.7,8.1,3.4,4.2,99.2/100.2,92.8/92.1,64.6/41.8,20.0,122.3,85.0,54,40.3,30.7/5.6,264,121,100.0/100.0,99.4/98.2,-99,-99,152.55,64.75,69.82,62.63,44.90,9.85,36.03,43.51,65.06,5.62,5.57,17.78,17.94,61.59,1.62,44.90,16.49,31.29,38.84,33.17,64.75,100.0,14893.3474884849,43.716889591369,,7925.0,10557099767.6392,9556991730.001741,109.590332058318,-1.9212403897281998,6.74253478646278,95.17070123262519,25.145243818432103,8812917854.0,0.6940000000000001,92.9605858547623,1.3119458822323402,80.7,73.8,77.16585365853659,1.10193325763504,2793675.0,2645557.0,18.7118779603018,18.524609259480396,53.751000000000005
51,Slovenia,SouthernEurope,20273,2080,103.3,98.6,42777,2.3,20689.8,2.4,32.7,64.9,8.9,29.6,61.5,8.1,51.8/62.2,89,89,27585,26646,939,2216,0.3,49.7,0.1,1.6,15.0/26.3,236.0/11.4,0.6,2.5,9.2,2.8,5.5,99.4/99.2,110.5/110.8,98.5/68.2,36.7,113.2,73.1,143,62.0,12.8/6.2,154,135,99.7/99.4,99.1/99.1,-99,-99,175.45,78.23,75.95,64.35,53.24,8.34,26.48,26.37,60.50,4.20,4.21,23.82,23.77,60.26,1.66,53.24,14.06,34.46,43.48,43.13,78.23,100.0,20396.0443337182,51.344338033450605,0.5664,1087075.0,8256449246.51285,5649619234.16317,107.402110095793,6.152710431123331,8.187017589807509,82.9649226603655,29.0499006655722,1755384350.0,0.7879999999999999,73.9660327409365,1.4291074331929698,84.0,78.2,81.0292682926829,0.9820473470246899,1038723.0,1027665.0,18.3903854285229,11.1080352663704,54.273
52,South Africa,SouthernAfrica,1221037,56717,46.8,96.4,314571,1.3,5773.0,2.4,28.9,68.7,6.1,26.2,67.7,26.0,46.4/61.1,125,126,74111,74744,-633,-13644,1.4,64.8,1.6,2.6,29.0/8.4,3142.5/5.8,1201.9,36.5,8.8,0.8,6.0,97.3/102.2,111.5/88.0,23.3/15.7,42.2,159.3,51.9,581,7.6,489.8/9.1,7102,122,99.6/81.4,69.6/60.5,0.47,-99,144.72,98.96,24.28,61.72,43.12,3.58,42.98,63.56,88.74,9.51,10.41,10.51,9.60,41.97,2.38,43.12,16.33,30.28,36.27,40.20,98.96,84.4,6181.72999837607,52.368039896373396,833.347947527025,20821044.0,15387496170.6385,15773982430.0099,146.053721453082,-2.54979944985608,8.11311826109886,29.6276693701772,19.966159379694602,2040001338.0,0.406,28.3462255610144,5.18108223263743,67.064,60.162,63.538000000000004,1.04366339589233,28883601.0,28116850.0,26.948876540079603,49.2065136907516,65.85
53,Spain,SouthernEurope,505944,46354,92.9,96.2,1192955,3.2,25865.4,2.6,23.6,73.7,3.9,19.2,76.8,18.3,52.1/64.2,102,102,281777,302539,-20762,16208,-0.2,79.6,0.7,1.3,14.7/25.3,5853.0/12.7,28.8,2.9,9.0,3.8,4.3,105.6/104.5,129.6/130.0,97.1/82.5,39.1,107.9,78.7,617,36.8,234.0/5.1,1432,102,100.0/100.0,99.8/100.0,-99,-99,183.65,87.87,68.72,76.65,54.98,8.26,32.63,37.46,88.04,4.38,5.23,22.81,19.13,52.02,1.92,54.98,18.83,37.65,44.68,53.68,87.87,100.0,27021.2619595246,51.1697189700603,1078.63356,71598374.0,144761654744.814,72302235551.4249,108.375335054149,2.7130880765728396,8.873129636049269,35.1783922236242,23.007320906325802,17094347468.0,0.743,31.5991868337295,1.95608333333334,86.1,80.6,83.28292682926829,1.2259930602176599,23723820.0,22869416.0,13.722180814164698,33.1996882754661,80.08
54,Sri Lanka,SouthernAsia,65610,20877,332.9,92.5,82316,4.8,3973.7,8.7,30.7,60.6,27.4,25.9,46.6,5.2,30.4/75.0,120,122,10546,19501,-8955,-2009,0.5,18.4,0.8,2.1,24.0/14.9,38.7/0.2,44.2,8.2,3.5,...,2.2,100.6/102.7,102.0/97.5,24.0/15.6,5.8,112.8,30.0,587,33.1,18.4/0.9,179,20,98.5/95.0,88.1/96.7,0.53,-99,88.99,30.28,65.43,80.04,33.47,17.49,47.19,61.90,2.40,4.91,4.47,20.38,22.38,238.64,0.42,33.47,8.74,21.62,36.79,19.51,30.28,97.5,3666.8671628873,52.74330001173139,398.473464249,5403577.0,7689872443.07136,4352662706.89619,147.08785819643,-2.64102153429613,3.81142050027847,21.831465280542897,24.371033228059503,79026655.0,0.584,29.0553049222384,7.70413767850603,79.979,73.238,76.648,2.14799913812899,11133868.0,10310132.0,12.5312523431743,14.925378254670301,18.384
55,Sweden,NorthernEurope,438574,9911,24.2,100.2,495694,4.1,50687.5,1.3,26.3,72.4,1.8,18.2,79.9,7.3,60.7/68.0,100,100,139574,140838,-1263,23250,0.8,85.8,0.8,1.9,17.5/25.5,1639.8/16.8,348.5,2.4,11.9,4.1,7.7,125.6/120.6,150.0/131.5,75.7/49.6,43.6,130.4,90.6,54,68.9,43.4/4.5,1428,206,100.0/100.0,99.2/99.6,-99,-99,172.74,107.23,53.35,70.64,75.88,11.77,31.60,17.87,59.13,2.52,3.22,39.66,31.08,71.27,1.40,75.88,26.86,52.39,67.94,78.27,107.23,100.0,48316.2767581085,59.965651998891104,,,74155873150.7377,69960800756.0849,106.491774734342,3.0840063477233,11.018746346235302,43.734721932138,28.259404025085804,17434042461.0,0.8,41.200027502143705,1.79449904665596,84.1,80.8,82.409756097561,1.0335017217020899,5025514.0,5032184.0,28.1309958240849,16.2172913322271,87.146
56,Switzerland,WesternEurope,41291,8476,214.5,98.2,670790,0.8,80831.1,0.7,25.5,73.8,3.5,20.4,76.1,4.6,62.5/74.5,106,106,304691,269157,35534,77378,1.2,73.9,1.1,1.5,14.9/24.1,2438.7/29.4,110.1,3.9,11.7,4.1,5.1,103.8/104.1,99.4/103.0,58.5/56.9,32.5,142.0,88.0,74,31.6,35.3/4.3,552,126,100.0/100.0,99.9/99.8,-99,-99,173.54,95.35,77.55,71.04,122.06,14.04,28.30,20.77,69.32,3.01,3.15,33.24,31.78,81.89,1.22,122.06,56.57,90.68,122.72,119.85,95.35,100.0,60640.1486576029,49.9325804984945,1581.3523599999999,26732570.0,120397427652.378,105500793072.19301,98.26686201104928,6.4165192839183405,12.346322089433698,65.0326631233501,34.2561212495427,29844323632.0,0.767,54.4753676082932,0.533795988132759,85.6,81.6,83.55121951219509,0.681602395155031,4263869.0,4187971.0,10.401162657241802,24.961570781434002,73.76100000000001
57,Thailand,South-easternAsia,513120,69038,135.1,95.2,395168,2.8,5814.8,9.1,35.7,55.1,34.0,22.7,43.3,0.6,62.7/79.8,129,126,213927,195666,18260,32149,0.4,50.4,3.0,1.5,17.3/16.9,3913.3/5.8,554.1,11.2,4.1,...,4.1,99.2/106.1,125.3/132.6,57.3/40.5,4.9,125.8,39.3,611,32.0,316.2/4.7,3338,83,97.6/98.0,89.9/96.1,0.02,-99,57.21,34.28,50.22,80.66,43.71,24.43,43.56,73.23,-20.21,3.80,3.54,26.29,28.27,212.03,0.47,43.71,14.94,29.92,48.31,21.42,34.28,99.9,4783.33166672603,40.4312626405645,2511.891367964,70704889.0,70666590666.765,46384831962.7385,111.286809151122,9.63234113702125,3.74601632356644,66.6819293721371,34.774385852602,43987099050.0,0.604,54.2259926048092,0.66563189313507,80.468,72.977,76.683,1.3685609353213,35458012.0,33751846.0,14.7816935281654,30.090698640731503,49.2
58,The former Yugoslav Republic of Macedonia,SouthernEurope,25713,2083,82.6,100.0,10052,3.8,4836.1,12.0,27.9,65.1,16.2,29.2,54.5,27.3,43.9/67.8,111,112,4785,6757,-1972,-204,0.1,57.1,0.1,1.5,16.7/19.5,130.7/6.3,1.4,9.0,6.5,2.8,...,92.8/93.6,78.2/80.3,46.8/37.5,31.7,105.4,70.4,110,39.6,7.5/3.6,53,53,99.8/98.9,97.2/82.6,2.18,-99,116.42,39.85,61.34,63.46,30.93,14.67,33.79,83.38,75.54,3.71,3.57,26.93,28.04,132.83,0.75,30.93,6.02,18.99,25.41,20.74,39.85,100.0,4432.6627827268,42.6758558683268,,,1622275887.9976401,1180295136.21959,110.915833333333,-0.8555034408947529,6.06211498379707,55.145719342636994,18.4270982646989,186063939.0,0.534,68.9915645536526,1.3516188967743998,77.639,73.584,75.589,0.990700534450902,1040211.0,1041785.0,17.1611135905492,15.6219928727508,57.748000000000005
59,Turkey,WesternAsia,783562,80745,104.9,97.0,717888,4.0,9125.8,8.6,26.4,65.0,19.6,27.5,52.9,10.8,30.4/71.4,120,122,142606,198602,-55996,-32278,1.6,73.4,2.0,2.1,25.0/12.0,2964.9/3.8,3006.3,12.6,5.4,1.7,4.8,102.1/102.8,101.1/103.8,88.3/101.0,14.9,96.0,53.7,388,15.1,346.0/4.5,1303,65,100.0/100.0,98.3/85.5,0.30,-99,129.63,55.64,58.91,71.68,38.60,8.87,47.58,70.46,73.19,5.43,6.28,18.41,15.92,121.45,0.82,38.60,10.56,25.16,33.46,26.45,55.64,100.0,12064.016560053999,49.831742508980206,4800.237745146,107917326.0,52747000000.0,26036000000.0,174.96870328849,-4.75959953015096,4.21630293130875,24.7737943311504,26.482751470837197,3500896134.0,0.626,29.284515909690104,11.1443110840764,80.08800000000001,74.149,77.161,2.06814147502603,41130856.0,39971036.0,17.8494731591829,18.062541363121102,74.64399999999999
60,Ukraine,EasternEurope,603500,44223,76.3,86.0,90615,-9.9,2021.6,14.0,26.3,59.7,15.7,24.6,59.7,8.8,52.3/67.5,137,137,36369,39184,-2815,-189,-0.5,69.7,-0.3,1.5,15.5/23.2,4834.9/10.8,1644.8,8.8,7.1,3.0,5.9,105.1/102.8,98.2/100.2,88.4/76.5,12.3,144.0,49.3,102,16.6,227.3/5.1,3203,98,95.5/97.8,97.4/92.6,1.63,-99,87.49,26.93,48.73,49.81,26.22,22.87,39.16,67.26,49.94,5.30,6.01,18.88,16.63,512.06,0.20,26.22,9.36,18.14,19.87,19.69,26.93,100.0,2845.42446564177,46.5935679326923,53.792981999999995,6794396.0,13860000000.0,12231000000.0,235.299204427534,-2.17665769624938,6.99532032012939,48.0142981525409,12.257723328201301,1267145051.0,0.647,55.703543236629294,14.438322748874901,76.78,67.02,71.7809756097561,3.2414928995749106,24074287.0,20756848.0,20.0345254939706,14.503486162940199,69.24600000000001
61,United Arab Emirates,WesternAsia,83600,9400,112.4,262.4,370296,3.8,40438.8,0.7,44.9,54.4,3.5,21.1,75.4,3.7,41.7/90.8,70,70,195613,201908,-6296,-99,2.0,85.5,2.9,1.8,13.9/2.4,8095.1/88.4,1.3,6.2,3.6,1.6,-99,116.0/116.7,-99,-99,20.0,187.4,91.2,56,3.8,211.4/23.2,8642,366,99.6/100.0,98.0/95.2,-99,-99,139.27,116.77,79.34,60.49,67.98,5.60,35.05,58.52,8.86,9.70,10.65,10.30,9.39,42.07,2.38,67.98,68.84,68.39,55.36,63.92,116.77,100.0,37929.2743595731,18.3979811747869,16616.244609999998,95306195.0,,,113.302920986271,,3.33428233861923,99.5949384086332,49.4811470103372,2188953095.0,0.659,75.4094120296224,1.9668255781883899,79.008,76.96600000000001,77.64699999999999,,2891723.0,6595480.0,0.0664571906833831,,86.24799999999999
62,United Kingdom,NorthernEurope,242495,66182,273.6,97.4,2858003,2.2,44162.4,0.7,19.4,79.9,1.2,18.4,80.4,5.0,57.0/68.6,108,108,415856,635570,-219713,-122571,0.6,82.6,0.9,1.9,17.7/23.9,8543.1/13.2,151.7,4.1,9.1,2.8,5.7,108.1/108.4,130.4/125.3,64.1/49.0,30.0,125.8,92.0,102,12.9,419.8/6.5,4482,116,100.0/100.0,99.1/99.6,-99,-99,172.87,96.85,58.81,74.28,69.49,10.00,34.60,34.88,78.91,4.16,4.40,24.02,22.75,69.10,1.45,69.49,30.98,51.03,55.85,76.84,96.85,100.0,36564.2644505942,56.0698960446915,5915.641,151159067.0,372378473476.58203,228132723334.37802,114.94359164046601,-3.48923552866848,9.631694108247759,30.3661254439058,16.321879916029,75275694845.0,0.7809999999999999,31.579013422524,2.55775577557754,83.1,79.5,81.25609756097559,1.7710938428571499,33464674.0,32594185.0,25.523503536041304,33.2275244819321,83.14299999999999
63,United States of America,NorthernAmerica,9833517,324460,35.5,98.0,18036648,2.6,56053.8,1.0,19.7,79.3,1.5,17.2,81.3,4.9,55.7/68.1,111,113,1453167,2249661,-796494,-462961,0.7,81.6,1.0,1.9,18.9/21.5,46627.1/14.5,616.5,6.0,17.1,2.6,5.4,100.0/100.3,98.5/96.7,99.6/72.8,19.1,117.6,74.6,1513,33.9,5254.3/16.2,83887,289,99.4/98.2,100.0/100.0,-99,-99,179.73,123.17,51.24,68.22,75.42,3.26,34.58,31.19,67.95,11.23,12.24,8.90,8.17,23.53,4.25,75.42,40.30,58.59,75.57,70.02,123.17,100.0,46371.3548323046,52.1558056764975,41591.551767000004,849403000.0,779305000000.0,521836000000.0,112.41155730230801,-2.25626437585357,17.0612692832947,12.094833790784,17.531695170093,156937052150.0,0.762,15.0474864512352,2.1301100036596297,81.1,76.1,78.5390243902439,3.1090104054349603,164193686.0,160791853.0,11.7642666978839,49.600037277589905,82.05799999999999
64,Venezuela (Bolivarian Republic of),SouthAmerica,912050,31977,36.3,99.0,344331,-6.2,11068.9,5.3,44.7,50.0,11.9,26.8,61.3,6.6,51.5/78.3,118,119,19731,16324,3407,-20360,1.4,89.0,1.5,2.4,27.6/9.9,1404.4/4.5,174.2,13.8,5.3,...,...,98.6/101.3,93.0/86.5,.../...,22.2,93.0,61.9,328,53.1,185.2/6.1,7460,90,95.0/77.9,97.5/69.9,0.01,-99,0.00,3.35,14.72,36.90,38.30,202.07,46.24,72.90,91.17,3.51,3.18,28.48,31.42,4469.07,0.02,38.30,7.51,23.55,39.40,37.34,3.35,99.2,,53.643589379931,2.79291553183396,4209158.0,,,,,1.1812101118266598,,,,,,,76.194,68.523,72.24600000000001,0.48784414488216293,14843348.0,14547061.0,,,88.18299999999999
65,Vietnam,South-easternAsia,330967,95541,308.1,98.0,193241,6.7,2067.9,18.9,37.0,44.2,41.8,22.9,35.2,2.2,73.9/83.3,136,134,176632,174111,2520,906,1.1,33.6,3.0,2.0,23.1/11.1,72.8/0.1,11.0,19.3,7.1,1.2,5.7,108.4/109.3,-99,28.9/28.8,26.7,130.6,52.7,616,47.2,166.9/1.8,2977,30,99.1/96.9,94.4/69.7,1.73,-99,36.12,24.77,47.04,47.87,40.11,26.76,33.00,88.10,-12.87,4.52,7.03,22.10,14.22,285.55,0.35,40.11,15.49,28.31,39.60,20.46,24.77,100.0,1613.26480486729,43.1200318300567,453.34954000000005,42592762.0,13070000000.0,17100000000.0,153.63165215668502,-0.736884881932091,5.53212836384773,101.593435844166,25.4579976927572,74113940404.0,0.6659999999999999,98.79114458222419,3.52025688811617,79.366,71.124,75.241,2.2679695552446697,47405623.0,47191019.0,,,35.213
